epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7456.27,1.3653,1.04957,1.34929,0.69468,0.74897,0.76036,0.4649,1.17991,0.78123,1.23748,0.00029705,0.00029705,0.00029705
43,7610.66,1.35626,1.0361,1.34275,0.72342,0.73757,0.75061,0.46042,1.17608,0.78836,1.23393,0.0002921,0.0002921,0.0002921
44,7766.88,1.36394,1.04288,1.34647,0.68445,0.7597,0.75419,0.45909,1.17754,0.78911,1.23267,0.00028715,0.00028715,0.00028715
45,7925.98,1.35667,1.03073,1.33796,0.7262,0.72998,0.75466,0.46203,1.17408,0.77543,1.22798,0.0002822,0.0002822,0.0002822
46,8095.86,1.34838,1.03046,1.33362,0.70011,0.76765,0.76314,0.46658,1.17218,0.77248,1.23128,0.00027725,0.00027725,0.00027725
47,8256.92,1.33858,1.01773,1.32996,0.73039,0.72937,0.75682,0.45932,1.18027,0.76872,1.22977,0.0002723,0.0002723,0.0002723
48,8426.51,1.34173,1.01395,1.32987,0.70755,0.74818,0.75938,0.46483,1.17647,0.75342,1.22848,0.00026735,0.00026735,0.00026735
49,8596.09,1.33352,0.99904,1.32495,0.70387,0.74943,0.75837,0.46095,1.18212,0.75396,1.22771,0.0002624,0.0002624,0.0002624
50,8758.92,1.33471,1.01021,1.32729,0.69911,0.71256,0.72794,0.44885,1.16375,0.78828,1.22507,0.00025745,0.00025745,0.00025745
51,8929.35,1.32892,0.98955,1.31758,0.72424,0.72024,0.75733,0.46425,1.16646,0.76571,1.21908,0.0002525,0.0002525,0.0002525
52,9099.57,1.32913,0.98886,1.32227,0.73714,0.71321,0.75057,0.46227,1.1617,0.75909,1.2145,0.00024755,0.00024755,0.00024755
53,9270.22,1.32389,0.99072,1.31807,0.72076,0.73076,0.75651,0.46473,1.16557,0.76369,1.21457,0.0002426,0.0002426,0.0002426
54,9434.14,1.32559,1.00017,1.31671,0.70056,0.7484,0.7631,0.46849,1.1559,0.74819,1.21086,0.00023765,0.00023765,0.00023765
55,9646.13,1.32339,0.9868,1.31723,0.70999,0.75385,0.75186,0.46137,1.16974,0.75184,1.22174,0.0002327,0.0002327,0.0002327
56,9830.36,1.31426,0.98653,1.31711,0.70193,0.76001,0.75769,0.46226,1.16931,0.75594,1.21899,0.00022775,0.00022775,0.00022775
57,9994.36,1.31786,0.98017,1.31504,0.71032,0.75532,0.76643,0.45934,1.17087,0.75567,1.22468,0.0002228,0.0002228,0.0002228
58,10161.4,1.31503,0.98083,1.31524,0.70579,0.75949,0.77213,0.46747,1.17023,0.75028,1.21815,0.00021785,0.00021785,0.00021785
59,10336.2,1.31195,0.97348,1.31185,0.71508,0.75879,0.76885,0.46522,1.16403,0.74002,1.20654,0.0002129,0.0002129,0.0002129
60,10513.4,1.30221,0.95849,1.30313,0.72152,0.75208,0.77417,0.47021,1.16218,0.73365,1.21209,0.00020795,0.00020795,0.00020795
61,10688.9,1.29208,0.95792,1.29851,0.73072,0.72236,0.75451,0.46286,1.15533,0.75146,1.21544,0.000203,0.000203,0.000203
62,10871.2,1.30747,0.96068,1.30577,0.70843,0.75735,0.76625,0.46838,1.15622,0.75353,1.2179,0.00019805,0.00019805,0.00019805
